title,description,content,url,image,publishedat,sourcename,sourceurl,country
"Who is Cole Allen, suspected White House Correspondents' dinner shooter? : NPR",The 31-year-old teacher and engineer from California sent an alleged message to family members saying that he wanted to target administration officials.,"Cole Allen, a 31-year old teacher and engineer from Torrance, California, has been identified as the man suspected of opening fire at the White House Correspondents' Dinner Saturday night, two sources familiar with the matter told NPR. The sources sp... [2586 chars]",https://www.npr.org/2026/04/26/g-s1-118826/cole-allen-suspected-white-house-correspondents-dinner-shooter-profile,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5943x3343+0+79/resize/1400/quality/85/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fee%2F86%2Ff56bf2244b22a2a523867337675a%2Fgettyimages-2272685949.jpg,2026-04-26T19:05:06Z,NPR,https://www.npr.org,USA
Actriz de “Wicked” es discriminada por aerolínea al depender de una silla de ruedas,"La joven que da vida a Nessarose, recurrió a su cuenta de TikTok para narrar la situación, cuando estaba por abordar un vuelo a Pensilvania","Marissa Bode, actriz de la película“Wicked”, fue objeto de discriminación cuando trató de abordar un vuelo y este no contar con las condiciones adecuadas para que pudiera subir a él, sin la necesidad de usar las escaleras, pues necesita de una silla ... [3288 chars]",https://www.elnuevodia.com/entretenimiento/farandula/notas/actriz-de-wicked-es-discriminada-por-aerolinea-al-depender-de-una-silla-de-ruedas/,https://www.elnuevodia.com/resizer/v2/JUNJIA764JAWLKY4UOWK3Q3OIM.jpg?auth=accb8a08b182fd3ba2b08be19f36d8b09dafd79fab2be8953e4aeb83a620ee26&quality=75&width=1200&height=717&focal=2464%2C1702,2026-04-26T18:59:00Z,Noticias de Puerto Rico hoy,https://www.elnuevodia.com,USA
Iran war: Live updates,"Iran President Masoud Pezeshkian said his country won’t negotiate while the United States imposes a blockade on its ports, according to Iranian media.","By the Associated Press
Pakistan’s foreign minister, Ishaq Dar, said late Sunday that the government has lifted all restrictions around the high-security zone in the capital of Islamabad.
Iranian and U.S. delegations held rare face-to-face talks ther... [13867 chars]",https://www.bostonglobe.com/2026/04/26/nation/us-iran-war-updates/,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/v2/HFD5DRBGRVGEHDDUAEQ3GCWYRE.jpg?auth=ccb57113338c1147a04ce4817bd8ff80c0960b36e3fd1b4c5142d78b098d0d6a&width=1440,2026-04-26T18:58:26Z,The Boston Globe,https://www.bostonglobe.com,USA
At least 16 dead in strikes across Ukraine and Russia on Chernobyl anniversary,"Strikes across Ukraine, Russian-occupied territory and Russia killed at least 16 people, authorities said, as the 40th anniversary of the Chernobyl nuclear disaster​ prompted fresh warnings about the risks posed by attacks near the plant.","Strikes across Ukraine, Russian-occupied territory and Russia killed at least 16 people, authorities said, as the 40th anniversary of the Chernobyl nuclear disaster prompted fresh warnings about the risks posed by attacks near the plant during Russia... [3695 chars]",https://www.cbsnews.com/news/ukraine-russian-attacks-chernobyl-anniversary/,https://assets2.cbsnewsstatic.com/hub/i/r/2026/04/26/1ffac897-d3f0-4f21-b100-08a4fa8e1533/thumbnail/1200x630/37156da4878300697e04b4ac3c875048/ap26116200619309.jpg,2026-04-26T18:48:42Z,CBS News,https://www.cbsnews.com,USA
“La gente empezó a correr”: investigan muerte de un adulto mayor en una megatienda en Carolina,"La Policía indicó que el hombre, de 68 años, aparentemente falleció baleado por un guardia de seguridad","Carolina - La Policía investiga la muerte de un hombre de 68 años, a eso de las 2:00 p.m. de este domingo, quien habría sido baleado por un guardia de seguridad en la entrada de la megatienda Walmart, en el centro comercial Plaza Escorial.
Según la i... [2614 chars]",https://www.elnuevodia.com/noticias/seguridad/notas/investigan-muerte-de-adulto-mayor-en-un-walmart-en-carolina/,https://www.elnuevodia.com/resizer/v2/WNKBZDAXGVDRHIB5U7UIRR2IHY.JPG?auth=4d075ab657df833ce679d05c5c1bdf5ecebc0dcc1bb6a0944ebe2cf5ed436d7d&quality=75&width=1200&height=717&focal=3175%2C1194,2026-04-26T18:48:00Z,Noticias de Puerto Rico hoy,https://www.elnuevodia.com,USA
"UK faces higher prices for eight months after war in Iran ends, says minister","Darren Jones suggests cost of energy, food and flights will remain high after de-escalation and Hormuz strait reopens","The UK faces higher prices for food and fuel for at least eight months after the war in Iran ends, a minister has said.
The closure of the strait of Hormuz, a key shipping lane that carries a fifth of global oil and gas, has sent oil prices soaring s... [2604 chars]",https://www.theguardian.com/money/2026/apr/26/uk-faces-higher-pricesafter-war-iran-ends-darren-jones,"https://i.guim.co.uk/img/media/69c2d63858bddb5cb30f2a5b652d9e9a288c5284/587_0_5914_4734/master/5914.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=14c95db67795d8c649a64544f00d3680",2026-04-26T19:27:00Z,The Guardian,https://www.theguardian.com,UK
Southport dad fighting for life 'just wants more time' with his three sons,The family are running out of options and need funding to give Leon a chance of having more time with his three sons,"The family are running out of options and need funding to give Leon a chance of having more time with his three sons
A family has gone from planning their future together to fighting for more time. Leon Skapars, 35, has been told he has no more than ... [4847 chars]",https://www.liverpoolecho.co.uk/news/liverpool-news/southport-dad-fighting-life-just-33840147,https://i2-prod.liverpoolecho.co.uk/article33841035.ece/ALTERNATES/s1200d/0_CaptureJPG.jpg,2026-04-26T19:21:00Z,Liverpool Echo,https://www.liverpoolecho.co.uk,UK
"Hibernian 1, Hearts 2: Instant reaction to the burning issues",Hearts came from behind to beat Hibernian at Easter Road this afternoon and surge three clear of Celtic in the Premiership with four matches left.,"Derek McInnes’s team fell behind to an early Martin Boyle effort – but David Gray’s side were reduced to nine men after goalkeeper Raphael Sallinger was sent off and then Felix Passlack was red carded.
A Warren O’Hora own goal drew Hearts level in th... [5940 chars]",https://www.heraldscotland.com/sport/26054278.hibernian-1-hearts-2-instant-reaction-burning-issues/,https://www.heraldscotland.com/resources/images/20838018.jpg?type=og-image,2026-04-26T19:18:08Z,The Herald,https://www.heraldscotland.com,UK
McFarlane delighted Chelsea stopped the rot by beating Leeds in FA Cup semi-final,Chelsea’s interim manager Calum McFarlane admitted they had to ‘break the momentum’ of five straight Premier League defeats without scoring as they held off Leeds to reach the FA Cup final,"Chelsea’s interim manager Calum McFarlane admitted they had to “break the momentum” of five straight Premier League defeats without scoring as they held off Leeds to reach the FA Cup final.
A header in the first half from Enzo Fernández proved decisi... [1710 chars]",https://www.theguardian.com/football/2026/apr/26/mcfarlane-chelsea-leeds-fa-cup-semi-final-farke,"https://i.guim.co.uk/img/media/b3d9a1de722ac70108c73d78566758f9bc972f9c/458_0_4965_3973/master/4965.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&precrop=40:21,offset-x50,offset-y0&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=caa2cad58951c3987a622aa0b2c7703e",2026-04-26T19:18:00Z,The Guardian,https://www.theguardian.com,UK
Viral browser app forces you to stop scrolling with a giant cat you can’t remove,A viral browser extension called Cat Gatekeeper forces users to stop scrolling by sending a giant cat overlay onto their screen.,"A new browser extension designed to force users off social media has gone viral by sending a giant cat onto their screen when they scroll for too long.
Cat Gatekeeper is a Chrome extension from developer ZOKUZOKU that works like a digital break timer... [1853 chars]",https://www.dexerto.com/entertainment/viral-browser-app-forces-you-to-stop-scrolling-with-a-giant-cat-you-cant-remove-3356843/,https://www.dexerto.com/cdn-image/wp-content/uploads/2026/04/26/fat-cat-break-forcer.jpg,2026-04-26T19:14:26Z,Dexerto,https://www.dexerto.com,UK
Will doubters believe in Hearts' title chances now?,"Some have waited all season for Hearts to falter. Plenty thought it might be at Easter Road. But Derek McInnes' side are still going, writes Tom English.","One by one, the maroon waves started washing towards the away end at Easter Road.
In victory - late and glorious and possibly historic - Lawrence Shankland ran towards the Hearts fans and punched the air, an afternoon of frustration and relief pourin... [4807 chars]",https://www.bbc.co.uk/sport/football/articles/cnv8vm0eqgjo,https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/0a75/live/f65df990-41a1-11f1-9030-47a4fb432d46.jpg,2026-04-26T19:02:10Z,BBC,https://www.bbc.co.uk,UK
"Team News: Man United vs. Brentford injury, suspension list, predicted XIs",Sports Mole rounds up all of the latest injury and suspension news ahead of the Premier League clash between Manchester United and Brentford.,"Manchester United will continue their Premier League campaign against Brentford on Monday night.
Michael Carrick's side are third in the Premier League table, while Brentford occupy ninth, and here Sports Mole rounds up the team news for the two side... [463 chars]",https://www.sportsmole.co.uk/football/man-utd/injury-news/team-news/man-united-vs-brentford-injury-suspension-list-predicted-xis_596443.html,https://www.sportsmole.co.uk/thumbor/rMApuAM9zLU07bjgGMw7SOBXV90=/720x410/smart/filters:format(webp)/https%3A%2F%2Fsportsmole-media-prod.s3.gra.io.cloud.ovh.net%2Fuploads%2F2026%2F01%2Fimago1071796261-1-697c847aa328a063905256.jpg,2026-04-26T19:00:00Z,Sports Mole,https://www.sportsmole.co.uk,UK
Assault in lane close to M1 prompts police appeal,"A description of the attacker, a man in his 50s, with grey hair and beard, has been issued.","The sexual assault of a woman in a lane close to the M1 in Leicestershire has prompted an appeal from police.
Officers said the victim, who is in her 20s, was in Baines Lane - an access road off the A47 Hinckley Road, near the southbound M1 Leicester... [604 chars]",https://www.bbc.co.uk/news/articles/c1l9lj6q47ro,https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/4048/live/1fc6cff0-419d-11f1-898f-fb655503455a.jpg,2026-04-26T18:43:15Z,BBC,https://www.bbc.co.uk,UK
"Trump and officials 'likely' targets of press dinner shooting suspect, authorities believe","The suspect is expected to be charged with assault of a federal officer and using a firearm during a crime of violence, officials have said.","US President Donald Trump and his officials were the ""likely"" targets of a suspected gunman who attempted to storm the White House Correspondents' Dinner, acting US Attorney General Todd Blanche has said.
The suspect, named by US media as 31-year-old... [4381 chars]",https://www.bbc.co.uk/news/articles/c2d8dg57rzdo,https://ichef.bbci.co.uk/ace/branded_news/1200/cpsprodpb/8b9d/live/566dacb0-41aa-11f1-ac78-2112837ce2aa.jpg,2026-04-26T18:37:26Z,BBC,https://www.bbc.co.uk,UK
Burnham allies urge Rayner to strike Blair-Brown style leadership pact,Labour sources claim the pair discussed the idea at a secret summit,"Andy Burnham’s allies have told Angela Rayner to strike a leadership pact in which she would succeed him in Downing Street.
The proposal, which two Labour sources claimed was discussed when Mr Burnham visited her constituency home this month, would m... [4899 chars]",https://www.telegraph.co.uk/politics/2026/04/26/burnham-allies-urge-rayner-blair-brown-pact-leader/,https://www.telegraph.co.uk/content/dam/briefs/2026/04/26/TELEMMGLPICT000478344089_17772219577240_trans_NvBQzQNjv4BqpVlberWd9EgFPZtcLiMQf0Rf_Wk3V23H2268P_XkPxc.jpeg?impolicy=OG-Standard,2026-04-26T18:25:00Z,The Telegraph,https://www.telegraph.co.uk,UK
Donald Trump says Washington shooter's 'manifesto' shows he is a 'sick guy',"Several US media outlets are reporting on the existence of the manifesto, which reportedly states the shooter wanted to target administration officials and was sent to the suspect's family members just before the attack.","US President Donald Trump says a ""manifesto"" apparently written by the shooter at the White House correspondents' dinner reveals he is a ""sick guy"".
Several US media outlets have reported on the existence of the manifesto, which reportedly states the... [3797 chars]",https://www.abc.net.au/news/2026-04-27/donald-trump-white-house-correspondents-dinner-shooter-manifesto/106609766,https://live-production.wcms.abc-cdn.net.au/edb82b71917acc198bbae15e6e044fe0?impolicy=wcms_watermark_news&cropH=557&cropW=990&xPos=180&yPos=26&width=862&height=485&imformat=generic,2026-04-26T19:10:17Z,Australian Broadcasting Corporation,https://www.abc.net.au,Australia
Melbourne luxury fashion doyenne’s unique home hits the market,The property listing for Georgina Weir’s rural home provides a glimpse into the life and style of the late high priestess of fashion.,"April 27, 2026 — 5:00am
You have reached your maximum number of saved items.
Remove items from your saved list to add more.
Save this article for later
Add articles to your saved list and come back to them anytime.
The picturesque rural home of Melbo... [5598 chars]",https://www.theage.com.au/national/victoria/melbourne-luxury-fashion-doyenne-s-unique-home-hits-the-market-20260426-p5zr4d.html,https://static.ffx.io/images/$zoom_1%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_518%2C$y_497/t_crop_custom/q_86%2Cf_auto/84c1deb65e9d57fa23747c18ca8e63145e063fc5,2026-04-26T19:00:00Z,The Age,https://www.theage.com.au,Australia
Group secures flight tickets to Australia,"The group, which includes four women and nine children, are all Australian citizens who left al-Roj camp in north-eastern Syria on Saturday.","April 27, 2026 — 5:00am
You have reached your maximum number of saved items.
Remove items from your saved list to add more.
Save this article for later
Add articles to your saved list and come back to them anytime.
A group of women and children linke... [5280 chars]",https://www.smh.com.au/national/nsw/ticket-to-ride-australian-is-brides-secure-flights-home-20260426-p5zr5n.html,https://static.ffx.io/images/$zoom_0.30018074074074075%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_207%2C$y_80/t_crop_custom/q_86%2Cf_auto/5002812cbbb166a6919a2d189bcbf307d6ab28f9,2026-04-26T19:00:00Z,SMH.com.au,https://www.smh.com.au,Australia
Now is not the time for supermarkets to cash in on inflation,Rising food prices are generally good news for supermarket profits. But there are good reasons why the two giants should absorb some of the food inflation.,"Advertisement
Opinion
Coles and Woolies need to eat some of the food price rise pain
Clancy YeatesDeputy business editor
April 27, 2026 — 5:00am
April 27, 2026 — 5:00am
You have reached your maximum number of saved items.
Remove items from your saved... [6527 chars]",https://www.theage.com.au/business/companies/supermarket-giants-should-absorb-some-of-the-food-inflation-hit-20260423-p5zqm2.html,https://static.ffx.io/images/$zoom_0.353%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/t_metro_opinion_no_age_social_wm/0c76de1f1464b9b6eeccf173b2f339f28601f8ab,2026-04-26T19:00:00Z,The Age,https://www.theage.com.au,Australia
Group secures flight tickets to Australia,"The group, which includes four women and nine children, are all Australian citizens who left al-Roj camp in north-eastern Syria on Saturday.","April 27, 2026 — 5:00am
You have reached your maximum number of saved items.
Remove items from your saved list to add more.
Save this article for later
Add articles to your saved list and come back to them anytime.
A group of women and children linke... [5280 chars]",https://www.theage.com.au/national/nsw/ticket-to-ride-australian-is-brides-secure-flights-home-20260426-p5zr5n.html,https://static.ffx.io/images/$zoom_0.30018074074074075%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_207%2C$y_80/t_crop_custom/q_86%2Cf_auto/5002812cbbb166a6919a2d189bcbf307d6ab28f9,2026-04-26T19:00:00Z,The Age,https://www.theage.com.au,Australia
dollar industry operating on the fringe of regulation,"""Rewards clubs"" have exploded in Australia, claiming to have given away hundreds of millions in prizes, but they operate with almost no legal scrutiny.","Despite the flashing lights, the wads of cash and seemingly endless supply of Italian sports cars, this isn't Vegas.
It is just one of Australia's many ""rewards clubs"" popping up all over the country, claiming to have given away millions in prizes.
T... [8844 chars]",https://www.abc.net.au/news/2026-04-27/wild-west-of-rewards-clubs-operating-on-fringe-of-regulation/106577042,https://live-production.wcms.abc-cdn.net.au/a4dffbc99f80d45b7b9107516961ac93?impolicy=wcms_watermark_news&cropH=576&cropW=1024&xPos=0&yPos=257&width=862&height=485&imformat=generic,2026-04-26T18:56:34Z,abc.net.au,https://www.abc.net.au,Australia
‘Less sexy’: Grim stats reveal young Aussies abandoning apprenticeships in key trades,"The number of young Aussies taking up apprenticeships has continued to plummet, fresh data has revealed, with the Federal Government urged to reverse harsh cuts to support payments or face further worker shortages in key industries.","In the 12 months to September 2025, trade apprentice commencements fell nearly 10 per cent, while non-trade commencements (traineeships) were down just over 18 per cent, according to the National Centre for Vocational Education Research (NCVER).
The ... [9762 chars]",https://www.news.com.au/finance/work/careers/less-sexy-grim-stats-reveal-young-aussies-abandoning-apprenticeships-in-key-trades/news-story/4da580c4f0d649f77ebf7613634aec49,https://content.api.news/v3/images/bin/4fcea71ac50773e272f5414c0c3dd4d0,2026-04-26T18:53:33Z,news.com.au,https://www.news.com.au,Australia
"""I’m sure they had their reasoning : Abbey Gelmi on Seven sacking",Offsiders host reflects on being made redundant during maternity leave.,"Offsiders host Abbey Gelmi has spoken about being etrenched from Seven in 2025 whilst she was on maternity leave.
“My son, Ollie, was born in November [2024], and in February [2025] I was sat down by Seven and told my contract wasn’t being renewed an... [613 chars]",https://tvtonight.com.au/2026/04/im-sure-they-had-their-reasoning-abbey-gelmi-on-seven-sacking.html,https://i0.wp.com/tvtonight.com.au/wp-content/uploads/Offsiders-Abbey-Gelmi-1.jpg?fit=1040%2C700&ssl=1,2026-04-26T18:49:41Z,TV Tonight | Australia's Leading TV Blog,https://tvtonight.com.au,Australia
"Average is the enemy: Treating video as equal blunts impact; live, on-demand split can double outcomes, Kantar, Adgile research finds","Marketers have spent years smoothing video into sameness. New evidence suggests that is precisely the problem. Treating live and on-demand viewing as interchangeable dulls impact; recognising their psychological differences, and the overlooked power of repeats, can sharply amplify both brand fame and commercial returns.","In video planning, we’ve become addicted to creating a level playing field. To navigate a fragmented landscape, our cross-screen models are designed to homogenise video, using blunt metrics like reach to assume that every video impact has the same ad... [5220 chars]",https://www.mi-3.com.au/21-04-2026/average-enemy-treating-video-equal-blunts-impact-live-demand-split-can-double-outcomes,http://www.mi-3.com.au/sites/default/files/2026-04/Market%20Voice_Nine_270826_Lead%20Image%207.jpg,2026-04-26T18:46:18Z,Mi-3.com.au,https://www.mi-3.com.au,Australia
"China's 'quirky' fix for property crisis rewards marathon runners, AI experts and tennis players","Local governments in China are offering marathon runners, AI experts and tennis players subsidies to purchase unwanted properties amid a lingering real estate downturn.","What do marathon runners, AI experts and tennis players have in common?
In China, they have all become the target of creative housing subsidies.
Earlier this month, a social media account for the government of Nanjing — a capital city of China in imp... [4708 chars]",https://www.abc.net.au/news/2026-04-27/chinese-marathon-runners-offered-subsidies-buy-property/106597978,https://live-production.wcms.abc-cdn.net.au/d654c98cea933808deabfc465384492a?impolicy=wcms_watermark_news&cropH=253&cropW=450&xPos=0&yPos=55&width=862&height=485&imformat=generic,2026-04-26T18:44:40Z,abc.net.au,https://www.abc.net.au,Australia
